Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
Belize;Total;4;0;0;4;0;04/04/2020
Malawi;Total;4;0;0;4;0;04/04/2020
Anguilla;Total;3;0;0;3;0;04/04/2020
British Virgin Islands;Total;3;0;0;3;0;04/04/2020
Burundi;Total;3;0;0;3;0;04/04/2020
Caribbean Netherlands;Total;2;0;0;2;0;04/04/2020
Sierra Leone;Total;2;0;0;2;0;04/04/2020
Falkland Islands;Total;1;0;0;1;0;04/04/2020
Papua New Guinea;Total;1;0;0;1;0;04/04/2020
Timor-Leste;Total;1;0;0;1;0;04/04/2020
China;Total;81639;3326;76755;1558;80081;04/04/2020
